,France,Alsace,Aquitaine,Auvergne,Basse-Normandie,Bourgogne,Bretagne,Centre,Champagne-Ardenne,Corse,Franche-Comte,Haute-Normandie,Ile-de-France,Languedoc-Rousillon,Limousin,Lorraine,Midi-Pyrenees,Nord-Pas-de-Calais,Pays-de-la-Loire,Picardie,Poitou-Charentes,Provence-Alpes-Cote-d'Azur,Rhone-Alpes,Cayenne,Saint-laurent-du-maroni,Administrative unit not available,Administrative unit not available,Arrondissement_du_vent,Arrondissement_souse_le_vent,Fort-de-France,La Trinite,Le Marin,Saint-Pierre
2046,1007.21,1281.89,898.9,1067.33,975.91,1172.39,995.82,1019.32,1111.19,473.03,1268.69,962.97,1000.91,685.95,1056.65,1198.15,766.76,969.28,934.58,996.95,978.63,714.78,1054.6,996.82,922.37,568.21,1407.51,955.08,957.76,663.18,668.52,686.81,654.45
2047,975.54,1200.97,917.95,1029.74,945.31,1132.49,961.91,989.29,1064.23,636.49,1195.85,919.19,954.08,679.93,1033.35,1130.93,788.55,918.33,944.11,938.68,990.1,742.6,977.46,1057.23,992.81,501.75,939.72,750.95,757.67,636.79,641.12,655.95,629.72
2048,1019.05,1236.94,933.07,1087.6,980.32,1180.56,1054.74,1042.06,1111.5,567.6,1256.29,938.9,992.34,722.32,1091.14,1200.21,797.47,948.76,978.17,978.51,1029.65,765.86,1030.13,1008.78,921.92,515.13,1332.43,924.67,919.37,691.45,696.8,715.16,682.69
2049,1045.67,1315.94,940.27,1081.97,1025.15,1216.27,1034.44,1116.31,1146.8,580.58,1315.82,999.57,1066.93,701.61,1086.26,1213.29,788.93,997.69,1020.26,1012.7,1045.03,776.34,1068.71,1024.74,992.68,529.68,1123.58,786.88,789.19,642.08,642.66,644.66,641.13
2050,982.44,1275.82,901.47,1016.77,960.89,1078.42,1018.21,948.98,1064.93,557.29,1210.74,929.4,937.75,691.68,1004.85,1187.93,786.12,950.94,952.83,955.72,953.78,722.9,1025.87,1144.6,1047.77,533.62,1185.69,997.17,998.39,658.24,662.27,676.09,651.65
2051,1047.71,1316.76,957.11,1126.77,989.73,1248.73,1041.67,1094.39,1184.54,515.72,1308.23,972.8,1055.96,696.36,1106.44,1233.4,821.81,996.36,979.9,1019.94,1020.31,748.07,1069.97,997.03,947.86,505.81,1206.97,768.24,754.66,622.63,621.34,616.92,624.74
2052,1053.43,1337.82,973.13,1093.14,1023.38,1224.49,1051.26,1080.66,1114.41,593.24,1298.33,999.42,1003.01,741.76,1130.44,1234.35,820.75,993.91,1042.41,1004.48,1069.63,833.93,1079.65,1010.22,940.36,606.29,1090.85,859.57,846.52,631.71,634.62,644.56,626.97
2053,988.18,1268.11,921.16,1050.23,960.64,1132.43,1007.8,1000.32,1079.73,562.68,1226.08,893.16,939.09,693.82,1058.52,1183.34,779.48,896.58,967.43,914.01,990.68,759.06,999.04,1007.19,909.81,583.24,1162.27,865.49,858.71,672.55,673.92,678.61,670.32
2054,1094.06,1326.08,1018.59,1154.1,1116.68,1230.33,1124.27,1149.46,1168.32,553.5,1293.15,1089.08,1088.52,735.55,1189.01,1260.86,845.13,1053.58,1107.63,1102.24,1133.45,835.47,1087.29,1010.32,888.52,575.14,1177.08,858.26,845.65,689.12,695.16,715.86,679.25
2055,1063.08,1331.67,984.77,1147.25,1030.1,1247.85,1047.49,1090.64,1130.06,557.06,1328.36,1019.03,1034,732.96,1147.71,1221.91,848.42,1015.13,1014.32,1015.83,1053.96,788.08,1084.77,1087.39,1010.7,538.98,1229.42,972.33,994.69,615.94,619.48,631.62,610.15
2056,1045.69,1268.86,938.2,1095.75,1047.03,1206.97,1039.01,1093.61,1127.39,578.96,1311.41,1023.19,1046.15,754.02,1095.3,1201.73,836.09,986.24,1012.48,1009.77,1041.1,777.47,1046.52,1151.26,1079.3,595.26,1165.75,845.13,831.36,694.89,695.43,697.28,694
2057,1069.72,1368.48,968.56,1160.57,1030.94,1269.35,1040.19,1088.88,1187.23,580.06,1361.46,997.67,1038.35,726.83,1167.6,1273.6,832.58,969.44,994.8,1009.04,1017.95,819.76,1106.31,1104.46,1030.17,564.98,1172.2,966.33,961.15,678.7,678.85,679.36,678.46
2058,962.39,1207.48,845.32,958.87,992.16,1104.62,952.58,1014.54,1052.9,508.37,1197.23,995.13,1021.43,653.86,984.39,1119.88,729.05,958.01,940.68,991.82,966.18,702.79,931.08,995.81,946.57,557.06,1168.17,1000.73,1002.65,617.42,621.32,634.68,611.04
2059,1010.83,1287.1,895.06,1107.57,934.01,1209.73,960.97,991.48,1121,538.47,1314.41,927.01,972.76,707.72,1068.86,1206.49,781.74,940.31,906.05,972.74,943.61,794.35,1073.3,1093.46,995.01,471.66,1272.81,906,918.48,603.19,606.26,616.77,598.18
2060,994.31,1347.73,927.16,1073.13,950.03,1145.94,960.01,944.38,1080.97,552.87,1279.27,914.09,934.89,702.25,1005.76,1206.4,802.06,950.55,887.27,955.04,917.35,759.74,1053.6,981.31,940.73,495.49,1292.54,843.32,828.8,636.65,641.12,656.43,629.35
2061,1038.73,1315.89,951.38,1104.78,1018.44,1201.3,1007.25,1026.08,1137.99,585.61,1302.86,978.23,1036.82,743.33,1080.67,1210.02,837.66,987.03,951.24,1026.49,995.62,802.3,1079.72,1026.08,957.55,517.9,1199.32,967.44,957.56,630.74,628.06,618.87,635.12
2062,1023.17,1244.22,928.89,1068.42,999.26,1177.48,1018.09,1046.85,1118.58,596.67,1243.19,988.87,1022.89,734.66,1077.36,1183.44,809.75,983.5,992.11,1002.82,1032.07,819.09,1032.69,979.28,880.59,491.7,1212.96,917.5,920.02,593.84,597.77,611.25,587.41
