Variable:,pr,,,,,,,,,,,,,,,,,,,
,Spain,Andalucía,Aragón,Principado de Asturias,Illes Balears,Canarias,Cantabria,Castilla y León,Castilla-La Mancha,Cataluña/Catalunya,Ciudad Autónoma de Ceuta,Comunitat Valenciana,Extremadura,Galicia,Comunidad de Madrid,Ciudad Autónoma de Melilla,Región de Murcia,Comunidad Foral de Navarra,País Vasco/Euskadi,La Rioja
2090,570.31,323.24,578.94,895.99,393.21,108.02,854.87,723.24,452.45,503.2,255.95,383.57,438.53,952.34,574.02,245.05,306.34,744.87,813.1,767.92
2091,505.74,269.02,506.26,830.05,275.45,118.65,748.09,660.02,393.18,409.43,226.42,292.2,441.68,865.3,506.02,221.1,248.98,657.62,713.18,663.48
2092,572.74,286.54,558.73,966.88,324.41,95.03,896.47,773.46,422.96,472.32,218.84,323.96,453.3,1027.81,581.81,208.86,252.21,763.82,841.74,781.19
2093,533.89,271.83,576.46,870.78,391.57,90.69,831.47,655.99,387.79,502.31,241.61,364.7,383.29,913.36,482.17,220.28,278.49,724.46,789.08,705.03
2094,547.84,311.99,542.39,891.75,309.5,94.47,831.26,702.12,415.12,475.98,278.84,319.8,476.83,965.96,503.53,230.84,267.72,717.6,781.46,720.08
2095,532.67,281.9,494.28,848.32,272.76,99.82,772.87,700.08,436.78,426.58,202.96,316.44,492.88,1002.69,569.43,231.4,261.5,643.63,723.1,676.39
2096,533.6,302.41,535.62,829.05,338.26,89.02,774.64,684.21,415.64,443.83,220.93,318.95,464.44,874.06,532.05,238.08,255.79,717.28,751.39,683.47
2097,534.01,290.52,498.2,909.51,342.35,105.15,837.4,683.93,409.46,453.45,257.51,332.03,428.46,903.02,557.82,205.59,280.94,683.99,770.88,674.86
2098,526.02,258.15,499.2,956.06,311.61,104.4,893.4,685.48,372.82,451.79,198.84,283.29,435.01,907.16,500.99,211.53,232.73,716.69,816.14,715.28
2099,552.64,347.29,519.32,862.27,337.34,106.89,758.5,680.12,459.42,464.07,278.14,372.86,527.38,904.25,578.15,250.58,311.9,681.05,727.68,681.82
2100,532.45,298.37,518.58,854.19,332.91,120.73,773.37,680.17,410.18,457.36,260.73,353.73,454.54,901.74,520.4,272.29,308.91,676.55,727.83,664.31
