Variable:,pr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,France,Alsace,Aquitaine,Auvergne,Basse-Normandie,Bourgogne,Bretagne,Centre,Champagne-Ardenne,Corse,Franche-Comte,Haute-Normandie,Ile-de-France,Languedoc-Rousillon,Limousin,Lorraine,Midi-Pyrenees,Nord-Pas-de-Calais,Pays-de-la-Loire,Picardie,Poitou-Charentes,Provence-Alpes-Cote-d'Azur,Rhone-Alpes,Cayenne,Saint-laurent-du-maroni,Administrative unit not available,Administrative unit not available,Arrondissement_du_vent,Arrondissement_souse_le_vent,Fort-de-France,La Trinite,Le Marin,Saint-Pierre
1938,738.21,783.62,885.93,778.98,653.85,626.51,786.57,541.2,686.85,726.74,889.88,637.61,539.03,784.88,703.58,753.77,781.53,709.33,575.54,648,621.25,904.7,918.65,3249.06,2947.91,3182.61,1314.8,2014.97,2056.04,3129.63,3056.98,2659.03,3248.4
1939,963.39,1118.03,1027.21,1037.05,820.6,926.86,940.29,767.08,1000.11,852.78,1305.44,821.15,770.46,951.39,943.85,1085.15,935.34,914.98,762,855.61,825.5,1090.34,1228.01,3234.23,2838.14,2391.61,1785.3,2014.97,2056.04,2234.9,2179.91,1883.06,2324.8
1940,893.16,947.85,1061.76,1049.24,779.15,829.18,915.09,692.31,839.43,732.85,1151.94,723.24,625.3,842.18,950.75,923.03,857.07,761.32,701.73,700.38,802.89,983.49,1233.39,2844.39,2268.25,2221.59,1956.8,2014.97,2056.04,2061.98,2012.42,1744.55,2143
1941,889.33,803.33,1004.61,975.16,752.77,818.05,861.39,699.72,813.78,860.42,1022.07,730.77,668.95,954.9,920.83,829.81,919.57,743.73,722.72,720.8,797.58,1220.96,1129.78,3015.95,2563.78,2808.13,1589.5,2014.97,2056.04,2724.81,2661.58,2314.76,2828.2
1942,769.94,750.07,818.59,825.66,758.03,704.55,837.55,675.12,739.18,660.12,895.12,743.97,654.17,782.36,783.06,749.54,746.42,753.95,673.55,732.56,697.45,830.46,924.01,3001.61,2517.17,3342.24,1296.2,2014.97,2056.04,3275.02,3198.21,2776.39,3400.6
1943,750.49,644.7,866.35,801.92,634.84,639,784.11,567.16,691.69,762.58,835.73,596.68,530.34,877.59,753.56,704.35,828.75,664.19,587.94,627.59,661.94,982.08,941.48,3223.92,2812.55,2622.96,1406.4,2014.97,2056.04,2462.58,2402.4,2077.83,2561
1944,789.31,833.26,778.58,905.87,711.16,785.49,775.33,644.4,833.19,551.8,1049.78,710.65,642.21,792.96,806.43,872.29,758.63,770.85,611.85,735.56,661.26,828.66,1049.45,3047.89,2555.26,2957.24,1402.3,2014.97,2056.04,2830.8,2762.67,2390.65,2942.2
1945,645.01,745.12,743.88,660.38,594.08,543.15,763.13,475.27,651.09,466.58,801.21,558.07,484.65,613.54,619.43,717.26,611.6,676.4,529.46,620.37,556.16,748.86,813.51,3113.13,2648.11,2843.66,1340.8,2014.97,2056.04,2721.77,2653.87,2286.19,2832.8
1946,751.25,770.79,781.97,755.02,782.42,610.95,940.48,550.14,717.3,774.11,899.95,740.62,546.33,752.64,702.17,760.9,718.41,816.62,648.5,720.39,637.06,910.27,943.02,3152.81,2722.13,2454.41,1272.9,2014.97,2056.04,2274.8,2218.54,1922.72,2366.8
1947,747.98,661.33,861.56,789.73,668.81,666.73,812.27,572.56,731.23,774.37,891.89,627.43,549.98,737.24,757.03,746.75,763.21,643.16,612.66,618.28,655.26,943.12,954.45,2815.72,2237.28,2208.72,1530.7,2014.97,2056.04,2006.85,1956.36,1690.43,2089.4
