Variable:,pr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,United States,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
2041,892.35,1262.62,925.56,402.27,1136.09,605.53,786.28,1371.99,1378.82,1404.13,1087.08,1366.26,819.3,812.02,1035.79,1176.39,825.52,849.91,1369.42,973.58,1298.2,1349.26,1367.46,963.53,700.81,1116.44,1029.53,732.1,817.84,582.19,1372.48,1374.59,604.43,1340.9,1479.71,550.89,1233.32,831.19,1082.77,1306.72,1338.19,1466.35,706.81,1406.14,683.8,540.98,1352.89,1391.7,1129.81,1327.34,857.75,744.17
2042,903.36,1334.34,905.99,456.32,1101.74,704.58,763,1337.78,1363.06,1326.19,1100.61,1360.34,742.6,809.06,1080.23,1173.15,869.35,824.93,1343.92,1026.56,1324.3,1324.77,1319,934.79,707.56,1191.97,1072.67,756.77,827.33,633,1324.36,1306.92,625.69,1237.49,1448.41,584.63,1209.43,813.65,1153.31,1261.52,1340.86,1373.64,722.3,1380.8,720.39,556.26,1318.62,1397.42,1259.67,1348.3,849.43,722.27
2043,888.47,1188.56,927.79,410.01,1015.77,609.01,761.06,1252.65,1334.51,1302.16,1094.86,1215.73,650.58,835.7,1030.96,1153.41,866.77,867.05,1286.04,974.18,1351.97,1321.05,1274.99,981.63,706.17,1105.8,1001.24,740.11,811.99,583.68,1305.22,1295.24,658.05,1285.56,1360.62,597.2,1220.66,848.03,1120.87,1306.84,1307.37,1303.62,713.41,1278.22,740.25,512.75,1325.59,1329.73,1206.29,1332.36,827.04,714.36
2044,890.82,1332.25,922.1,415.28,1079.55,665.93,757.01,1355.92,1314.6,1363.3,1129.65,1339.07,583.18,754.52,993.85,1111.39,877.64,871.49,1306.35,974.89,1421.94,1313.97,1404.1,969.25,733.68,1176.91,983.04,713.59,798.31,567.9,1411.81,1288.03,640.24,1249.53,1493.04,591.99,1170.04,860.32,1052.14,1217.17,1401.07,1398.24,695.44,1365.4,725.87,540.66,1352.73,1424.32,1128.45,1333.29,891.95,687.93
2045,860.74,1183.39,905.25,361.33,1011.1,560.29,774.38,1363.45,1324.97,1317.24,1006.97,1221.16,698.5,761.26,972.33,1079.53,868.38,835.53,1259.42,917.21,1365.12,1311.91,1366.06,930.85,677.6,1094.07,933.31,720.09,851.91,508.86,1371.24,1315.35,647.9,1229.56,1364.71,553.05,1163.41,808.12,1005.45,1264.01,1401.7,1249.1,719.62,1260.17,713.76,472.67,1310.39,1350.26,1185.73,1321.32,850.29,703.69
2046,879.19,1279.73,915.12,346.43,985.92,669.31,738.08,1303.14,1302.61,1315.18,1008.62,1277.83,765.83,838.93,1038.07,1122.37,872.86,811.44,1292.77,970.75,1336.05,1292.7,1379.08,978.96,750.31,1127.13,988.3,773.38,793.34,573.77,1349.65,1233.95,598.97,1261.18,1362.87,623.9,1179.17,761.59,1142.19,1213.5,1338.01,1279.67,770.39,1310.68,663.98,481.52,1308.31,1331.45,1181.55,1288.65,903.81,718.62
2047,870.93,1220.28,923.99,408.62,959.23,597.15,738.04,1329.9,1301.39,1333.26,1029.69,1254.19,633.95,794.82,1001.9,1105.26,870.55,845.15,1268.55,940.88,1331.35,1307.45,1352.74,932.61,691.64,1078.91,930.5,735.78,817,577.63,1335.33,1298.13,609.79,1267.65,1413.05,553.3,1209.1,779.43,1128.59,1249.59,1320.7,1332.34,709.41,1291.06,641.25,532.67,1321.09,1357.72,1228.23,1291.51,828.2,720.73
2048,864.02,1166.15,941.23,408.73,971.56,581.25,764.25,1235.45,1313.62,1309.35,1058.97,1292.6,505.77,760.26,1009.9,1109.99,852.47,788.73,1241.56,876.99,1341.35,1295.58,1243.45,921.27,693.8,1034.02,967.75,727.92,781.43,598.82,1283.83,1299.18,654.42,1232.67,1425.17,584.59,1188.47,751.49,1007.78,1252.84,1246.11,1362.17,685.49,1197.81,636.38,538.55,1274.2,1348.9,1147.35,1266.18,834.54,700.94
2049,878.38,1179.29,913.05,452.04,959.2,653.12,772.66,1249.43,1294.8,1384.2,1045.81,1237.29,629.75,834.42,1009.55,1110.45,866.89,830.37,1253.58,911.56,1357.17,1303.58,1290.45,1026.4,748.19,1049.78,958.37,726.68,833.37,639.42,1311.64,1256.2,613.95,1220.58,1378.69,613.5,1169.6,758.56,1039.36,1165.09,1288.84,1326.33,752.57,1236.19,684.85,569.48,1315.58,1373.73,1135.86,1282.19,937.36,740.45
2050,885.35,1173.58,903.53,385.7,1028.66,552.39,756.97,1327.87,1348.53,1405.14,1043.98,1250.19,695.73,768.84,1055,1174.77,864.45,875.07,1317.52,999.54,1328.93,1346.82,1379.45,989.47,713.45,1086.68,1008.8,763.09,902.7,543.22,1324.29,1343.46,596.33,1274.82,1445.16,621.56,1253.41,832.84,1066.04,1268.64,1376.05,1403.38,753.49,1282.39,737.5,495.11,1306.78,1381.45,1222.04,1315.09,880.29,733.68
2051,845.52,1134.24,932.65,400.48,933.63,624.9,725.88,1268.11,1288.76,1337.46,975.77,1202.48,734.03,765.22,906.21,1012.36,811.98,805.61,1184.18,844.63,1419.57,1302.18,1284.98,878.96,675.49,998.58,910.81,728.16,781.13,544.38,1360.61,1260.57,627.53,1225.27,1332.41,586.65,1110.24,777.06,1034.85,1198.87,1289.46,1252.54,691.13,1169.97,650.64,461.14,1360.7,1319.59,1123.85,1247.28,771.79,680.7
2052,888.38,1188.14,937.49,385.87,1062.47,522.54,808.31,1305.53,1281.55,1265.24,1055.1,1297.16,610.73,815.57,1030.74,1117.57,890.91,854.75,1304.69,919.8,1330.44,1280.91,1330.31,984.02,729.52,1070.71,1022.69,785.74,862.64,567.43,1325.58,1328.97,604.58,1268.71,1404,559.55,1194.02,871.44,1078.66,1293.88,1351.67,1379.67,756.11,1333.67,675.09,524.46,1346.9,1313.96,1241.41,1314.55,914.53,751.22
2053,884.22,1172.38,915.38,394.54,927.25,623.84,768.86,1350.99,1322.36,1370.32,993.29,1261.97,638.79,816.22,1028.95,1149.35,905.55,827.71,1260.74,898.46,1378.43,1348.52,1375.53,1022.98,742.12,1081.64,952.16,749.97,826.51,574.48,1375.04,1300.91,651.03,1271.55,1461.34,568.39,1210.96,785.42,1093.15,1318.36,1397.33,1401.83,731.25,1247.32,670.35,542.28,1356.6,1420.72,1209.89,1398.29,936.79,726.39
2054,881.05,1251.17,940.44,442.59,1017.34,593.52,738.55,1358.53,1243.9,1273.96,1057.47,1295,609.37,807.86,993.93,1105.15,799.1,863.48,1273.68,1025,1451.68,1273.83,1373.26,967.21,717.48,1119.76,975.91,737.76,810.99,581.84,1445.49,1305,617.63,1314.83,1346.42,552.86,1190.7,815.47,1074.6,1276.28,1288.44,1326.98,691.28,1279.78,689.12,517.64,1436.94,1287.77,1116.36,1257.41,870.36,721.03
2055,896.47,1270.22,915.72,372.97,1047.51,645.89,775.86,1310.28,1345.74,1434.52,1071.66,1370.81,613.75,828.82,1014.27,1093.07,843.5,838.93,1268.69,1053.6,1224.18,1355.07,1312.74,960.05,731.62,1140.72,978.2,779.17,851.51,604.51,1306.56,1346.03,648.54,1249.62,1507.49,600.06,1163.01,820.75,1104.87,1275.57,1340.69,1483.23,770.58,1312.24,732.98,530.85,1284.57,1448.88,1220.18,1336.25,894.72,721.32
2056,872.36,1176.22,939.12,413.39,1025.82,554.24,765.12,1296.09,1210.2,1238.99,1022.12,1198.34,542.25,772.4,1007.76,1103.59,823.39,868.59,1248.76,1009.83,1356.17,1215.71,1322.3,943.42,713.34,1117.35,969.4,734.71,797.63,543.78,1341.91,1246.78,674.21,1301.2,1286.42,580.51,1169.81,816.38,1028.32,1217.41,1318.45,1230.12,710.5,1263.01,730.33,499.81,1367.67,1236.64,1128.58,1204.38,852.77,742.45
2057,849.37,1102.83,908.86,352.43,997.44,601.66,698.45,1292.31,1297.08,1291.84,985.82,1125.39,682.01,812.45,977.13,1104.23,780.53,763.79,1263.93,885.63,1361.66,1271.84,1345.4,910.4,646.56,1058.23,940.34,743.52,746.47,587.49,1345.19,1268.06,627.17,1228.12,1363.75,555.86,1216.82,709.57,1117.54,1228.12,1363.96,1254.05,681.63,1269.75,618.1,496.06,1305.66,1326.82,1264.24,1298.96,782.06,722.36
2058,896.21,1315.77,958.28,416.34,1028.5,577.5,791.26,1427.82,1343.45,1367.92,1093.6,1345.44,656.9,810.27,994.61,1141.92,832.55,792.9,1314.35,1008.45,1487.11,1370.36,1454.02,950.2,695.31,1152.15,922.36,732.47,761.07,597.27,1491.77,1395.72,675.79,1360.47,1449.81,581.04,1255.28,809.87,1005.81,1369.27,1438.11,1415.84,675.31,1331.37,736.47,553.97,1473.84,1403.85,1135.29,1336.74,842.19,745.44
